klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
167,2015,4,1,1545,19_20,0,0
1,2016,4,1,1545,01_02,1,0
1,2016,4,1,1545,17_18,1,0
1,2016,4,1,1545,18_19,1,0
1,2016,4,1,1545,21_22,0,0
3,2016,4,1,1545,07_08,0,0
8,2016,4,1,1545,08_09,0,0
8,2016,4,1,1545,08_09,0,1
9,2016,4,1,1545,21_22,0,1
11,2016,4,1,1545,10_11,0,0
14,2016,4,1,1545,9_10 ,0,0
21,2016,4,1,1545,9_10 ,0,1
23,2016,4,1,1545,20_21,0,1
26,2016,4,1,1545,11_12,0,0
28,2016,4,1,1545,10_11,0,1
28,2016,4,1,1545,20_21,0,0
38,2016,4,1,1545,14_15,0,0
38,2016,4,1,1545,19_20,0,1
45,2016,4,1,1545,18_19,0,1
53,2016,4,1,1545,13_14,0,0
54,2016,4,1,1545,11_12,0,1
62,2016,4,1,1545,16_17,0,0
72,2016,4,1,1545,16_17,0,1
73,2016,4,1,1545,01_02,0,0
77,2016,4,1,1545,12_13,0,0
78,2016,4,1,1545,15_16,0,1
82,2016,4,1,1545,17_18,0,1
90,2016,4,1,1545,14_15,0,1
92,2016,4,1,1545,13_14,0,1
95,2016,4,1,1545,12_13,0,1
120,2016,4,1,1545,15_16,0,0
126,2016,4,1,1545,17_18,0,0
126,2016,4,1,1545,19_20,0,0
150,2016,4,1,1545,18_19,0,0
1,2017,4,1,1545,03_04,1,0
1,2017,4,1,1545,11_12,1,0
1,2017,4,1,1545,16_17,1,0
1,2017,4,1,1545,17_18,1,0
2,2017,4,1,1545,12_13,1,0
2,2017,4,1,1545,13_14,1,0
8,2017,4,1,1545,18_19,0,0
9,2017,4,1,1545,18_19,0,1
10,2017,4,1,1545,10_11,0,0
15,2017,4,1,1545,11_12,0,0
15,2017,4,1,1545,9_10 ,0,1
16,2017,4,1,1545,9_10 ,0,0
19,2017,4,1,1545,10_11,0,1
25,2017,4,1,1545,12_13,0,1
28,2017,4,1,1545,11_12,0,1
28,2017,4,1,1545,13_14,0,0
30,2017,4,1,1545,03_04,0,0
31,2017,4,1,1545,12_13,0,0
39,2017,4,1,1545,14_15,0,1
46,2017,4,1,1545,13_14,0,1
59,2017,4,1,1545,15_16,0,0
61,2017,4,1,1545,14_15,0,0
71,2017,4,1,1545,17_18,0,1
81,2017,4,1,1545,16_17,0,0
85,2017,4,1,1545,16_17,0,1
94,2017,4,1,1545,15_16,0,1
124,2017,4,1,1545,17_18,0,0
1,2018,4,1,1545,13_14,1,0
2,2018,4,1,1545,9_10 ,0,0
6,2018,4,1,1545,15_16,0,1
10,2018,4,1,1545,10_11,0,0
12,2018,4,1,1545,10_11,0,1
14,2018,4,1,1545,15_16,0,0
23,2018,4,1,1545,11_12,0,1
26,2018,4,1,1545,12_13,0,0
29,2018,4,1,1545,13_14,0,0
29,2018,4,1,1545,9_10 ,0,1
35,2018,4,1,1545,11_12,0,0
44,2018,4,1,1545,14_15,0,0
52,2018,4,1,1545,12_13,0,1
58,2018,4,1,1545,13_14,0,1
77,2018,4,1,1545,14_15,0,1
33,2019,4,1,1545,20_21,0,1
27,2019,4,1,1545,08_09,0,1
32,2019,4,1,1545,12_13,0,0
670,2019,4,1,1545,18_19,0,0
252,2019,4,1,1545,20_21,0,0
7,2019,4,1,1545,08_09,0,0
43,2019,4,1,1545,12_13,0,1
66,2019,4,1,1545,18_19,0,1
63,2019,4,1,1545,16_17,0,0
13,2019,4,1,1545,09_10,0,0
57,2019,4,1,1545,16_17,0,1
90,2019,4,1,1545,09_10,0,1
27,2019,4,1,1545,13_14,0,0
153,2019,4,1,1545,13_14,0,1
519,2019,4,1,1545,19_20,0,0
61,2019,4,1,1545,19_20,0,1
9,2019,4,1,1545,10_11,0,0
1,2019,4,1,1545,16_17,1,0
55,2019,4,1,1545,14_15,0,0
39,2019,4,1,1545,15_16,0,0
45,2019,4,1,1545,14_15,0,1
48,2019,4,1,1545,15_16,0,1
58,2019,4,1,1545,10_11,0,1
31,2019,4,1,1545,11_12,0,0
1,2019,4,1,1545,07_08,0,0
42,2019,4,1,1545,11_12,0,1
1,2019,4,1,1545,07_08,0,1
138,2019,4,1,1545,17_18,0,0
98,2019,4,1,1545,21_22,0,0
50,2019,4,1,1545,17_18,0,1
29,2019,4,1,1545,21_22,0,1
66,2020,4,1,1545,13_14,0,0
57,2020,4,1,1545,19_20,0,0
96,2020,4,1,1545,13_14,0,1
75,2020,4,1,1545,19_20,0,1
6,2020,4,1,1545,08_09,0,0
307,2020,4,1,1545,18_19,0,0
313,2020,4,1,1545,17_18,0,0
26,2020,4,1,1545,12_13,0,0
17,2020,4,1,1545,08_09,0,1
75,2020,4,1,1545,18_19,0,1
68,2020,4,1,1545,17_18,0,1
65,2020,4,1,1545,12_13,0,1
1,2020,4,1,1545,10_11,1,1
3,2020,4,1,1545,14_15,1,1
80,2020,4,1,1545,15_16,0,0
82,2020,4,1,1545,15_16,0,1
1,2020,4,1,1545,19_20,1,0
149,2020,4,1,1545,21_22,0,0
134,2020,4,1,1545,20_21,0,0
1,2020,4,1,1545,22_23,0,1
2,2020,4,1,1545,21_22,0,1
32,2020,4,1,1545,20_21,0,1
1,2020,4,1,1545,15_16,1,0
15,2020,4,1,1545,09_10,0,0
187,2020,4,1,1545,16_17,0,0
44,2020,4,1,1545,09_10,0,1
107,2020,4,1,1545,16_17,0,1
69,2020,4,1,1545,14_15,0,0
